,Gallery Number,Title,Department,Culture,Artist Display Name,Artist Begin Date,Artist End Date,Medium,data
409361,706,Brooch,The American Wing,American,Marcus and Co.,1892      ,1942      ,"Plique-à-jour enamel, conch pearl, diamond, platinum and eighteen karat gold","The American Wing American Marcus and Co. 1892       1942       Plique-à-jour enamel, conch pearl, diamond, platinum and eighteen karat gold"
411895,772,Gray and Brass,The American Wing,American,John Sloan,1871      ,1951      ,Oil on canvas,The American Wing American John Sloan 1871       1951       Oil on canvas
412038,753,"Study For Liberty Displaying the Arts and Sciences, or The Genius of America Encouraging the Emancipation of the Blacks",The American Wing,American,Samuel Jennings,1789      ,1834      ,Oil on canvas,The American Wing American Samuel Jennings 1789       1834       Oil on canvas
415022,713,Center table,The American Wing,American,Gustave Herter,1830      ,1898      ,"Rosewood, rosewood veneer, maple, burled wood, ash (secondary wood), brass, and scagliola","The American Wing American Gustave Herter 1830       1898       Rosewood, rosewood veneer, maple, burled wood, ash (secondary wood), brass, and scagliola"
415036,769,Moonlight,The American Wing,American,Edith Mitchill Prellwitz,1865      ,1944      ,Oil on panel,The American Wing American Edith Mitchill Prellwitz 1865       1944       Oil on panel
418615,746,Polacca polychrome water jar,The American Wing,"Hopi-Tewa, Native American",Nampeyo,1859      ,1942      ,Clay and pigment,"The American Wing Hopi-Tewa, Native American Nampeyo 1859       1942       Clay and pigment"
419881,749,The Marriage of the Virgin,The American Wing,Mexican,José Sánchez,1686      ,1695      ,Oil on canvas,The American Wing Mexican José Sánchez 1686       1695       Oil on canvas
422422,774,Dish (Charola),The American Wing,Mexican (Guanajuato),Unknown,          ,          ,"Earthenware, slip-covered, incised and polychrome decorated under a transparent glaze","The American Wing Mexican (Guanajuato) Unknown                       Earthenware, slip-covered, incised and polychrome decorated under a transparent glaze"
423733,773,Della Robbia vase with trees,The American Wing,American,Roseville Pottery|Frederick Hurten Rhead,1892      |1880      ,1954      |1942      ,Earthenware,The American Wing American Roseville Pottery|Frederick Hurten Rhead 1892      |1880       1954      |1942       Earthenware
427364,743,Plaque with mussel and oyster shells and seaweed,The American Wing,American,Alice Gouvy|Tiffany Studios|Tiffany Glass and Decorating Company,          |1902      |1892      ,          |1932      |1902      ,Enamel on copper,The American Wing American Alice Gouvy|Tiffany Studios|Tiffany Glass and Decorating Company           |1902      |1892                 |1932      |1902       Enamel on copper
429311,746,Black-on-Black Jar,The American Wing,"San Ildefonso, Native American",Maria Martínez|Julián Martínez,1887      |1885      ,1980      |1943      ,Clay and slip,"The American Wing San Ildefonso, Native American Maria Martínez|Julián Martínez 1887      |1885       1980      |1943       Clay and slip"
434268,706,Brooch,The American Wing,American,Paulding Farnham|Tiffany & Co.,1859      |1837      ,1927      |9999      ,"Gold, diamonds, and enamel","The American Wing American Paulding Farnham|Tiffany & Co. 1859      |1837       1927      |9999       Gold, diamonds, and enamel"
436033,762,Storage jar,The American Wing,American,David Drake|Stony Bluff Manufactory,1801      |          ,1870      |          ,Alkaline-glazed stoneware,The American Wing American David Drake|Stony Bluff Manufactory 1801      |           1870      |           Alkaline-glazed stoneware
436159,749,The Virgin of Carmen and the Souls of Purgatory with St. Joseph and the Prophet Elijah,The American Wing,Mexican,Juan Francisco de Aguilera,          ,          ,"Oil and gold on copper; Frame: ebony, tortoise shell, and silver","The American Wing Mexican Juan Francisco de Aguilera                       Oil and gold on copper; Frame: ebony, tortoise shell, and silver"
438675,746,Raven rattle,The American Wing,"Haida, Native American",Albert Edward Edenshaw,1812      ,1894      ,"Wood, pigment, glass beads and vegetal fiber","The American Wing Haida, Native American Albert Edward Edenshaw 1812       1894       Wood, pigment, glass beads and vegetal fiber"
438863,765,A Reconnaissance,The American Wing,American,Frederic Remington,1861      ,1909      ,Oil on canvas,The American Wing American Frederic Remington 1861       1909       Oil on canvas
443229,706,Face Harvest Jug,The American Wing,American,Unidentified Edgefield District potter|unknown Edgefield District Pottery,1800      |          ,1920      |          ,Alkaline glazed stoneware with kaolin inserts,The American Wing American Unidentified Edgefield District potter|unknown Edgefield District Pottery 1800      |           1920      |           Alkaline glazed stoneware with kaolin inserts
444239,757,Saint Christopher,The American Wing,Bolivia,Melchor Pérez Holguin,1660      ,1732      ,Oil on canvas,The American Wing Bolivia Melchor Pérez Holguin 1660       1732       Oil on canvas
444241,757,Our Lady of Valvanera,The American Wing,Peru (Cuzco),Unknown,          ,          ,Oil and gold on canvas,The American Wing Peru (Cuzco) Unknown                       Oil and gold on canvas
444245,757,"Christ Carrying the Cross, called ""The Lord of the Fall""",The American Wing,Peru (Cuzco),Unknown,          ,          ,Oil and gold on canvas,The American Wing Peru (Cuzco) Unknown                       Oil and gold on canvas
445132,758,Young Wife: First Stew,The American Wing,American,Lilly Martin Spencer,1822      ,1902      ,Oil on canvas,The American Wing American Lilly Martin Spencer 1822       1902       Oil on canvas
447042,758,The Wood Sawyer,The American Wing,American,Charles E. Weir,1823      ,1845      ,Oil on board,The American Wing American Charles E. Weir 1823       1845       Oil on board
447624,749,Chalice,The American Wing,Mexican,Antón Dantés,1544      ,1588      ,"Silver, gilt, repoussé, chased, cast, and lathed, with burnished punchwork","The American Wing Mexican Antón Dantés 1544       1588       Silver, gilt, repoussé, chased, cast, and lathed, with burnished punchwork"
447626,757,Missale Romanum (Roman Missal),The American Wing,Peruvian,Unknown,          ,          ,"Silver over wood, repoussé and chased, with burnished punchwork; cast clasps","The American Wing Peruvian Unknown                       Silver over wood, repoussé and chased, with burnished punchwork; cast clasps"
447998,754,"Father, Mother, and Child in a Park",The American Wing,American,John Christian Rauschner,1760      ,1812      ,"colored wax, paint, glass","The American Wing American John Christian Rauschner 1760       1812       colored wax, paint, glass"
453288,704,Teapot,The American Wing,American,John Bartlam,1735      ,1781      ,Soft-paste porcelain with underglaze blue decoration,The American Wing American John Bartlam 1735       1781       Soft-paste porcelain with underglaze blue decoration
461991,756,"Hayne Hudjihini, Eagle of Delight",The American Wing,American,Henry Inman,1801      ,1846      ,Oil on canvas,The American Wing American Henry Inman 1801       1846       Oil on canvas
462000,756,Pes-Ke-Le-Cha-Co,The American Wing,American,Henry Inman,1801      ,1846      ,Oil on canvas,The American Wing American Henry Inman 1801       1846       Oil on canvas
462721,749,Calvary,The American Wing,Guatemalan,Unknown,          ,          ,"Polychrome wood, gilt silver, glass, hair","The American Wing Guatemalan Unknown                       Polychrome wood, gilt silver, glass, hair"
465211,717,Eight-Day Tall Case Clock with Musical Movement,The American Wing,American,Eliphalet Chapin|Daniel Burnap|Simeon Loomis,          |1759      |          ,          |1838      |          ,"Cherry, pine, brass, glass","The American Wing American Eliphalet Chapin|Daniel Burnap|Simeon Loomis           |1759      |                     |1838      |           Cherry, pine, brass, glass"
465558,743,Sketchbook,The American Wing,American,Louis Comfort Tiffany,1848      ,1933      ,"Graphite, pastel, watercolor, and crayon on paper","The American Wing American Louis Comfort Tiffany 1848       1933       Graphite, pastel, watercolor, and crayon on paper"
465598,706,Vase,The American Wing,American,Tiffany & Co.,1837      ,9999      ,"Silver, copper, gold, and silver-copper-zinc alloy","The American Wing American Tiffany & Co. 1837       9999       Silver, copper, gold, and silver-copper-zinc alloy"
466218,768,Helena de Kay Gilder,The American Wing,American,Cecilia Beaux,1855      ,1942      ,Oil on canvas,The American Wing American Cecilia Beaux 1855       1942       Oil on canvas
466457,751,Carved chest,The American Wing,American,Robert Laurent,1890      ,1970      ,"Black walnut, tulip poplar, plywood, and brass","The American Wing American Robert Laurent 1890       1970       Black walnut, tulip poplar, plywood, and brass"
467094,746,Serape,The American Wing,"Diné/Navajo, Native American",Unidentified,          ,          ,Dyed and undyed wool,"The American Wing Diné/Navajo, Native American Unidentified                       Dyed and undyed wool"
467099,746,Chief's blanket,The American Wing,"Diné/Navajo, Native American",Unidentified,          ,          ,Dyed and undyed wool,"The American Wing Diné/Navajo, Native American Unidentified                       Dyed and undyed wool"
